unit,tra_meas,destination,date,passengers
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2017-04-01,8343
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2017-04-01,9941
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2017-04-01,16032
Passenger,Passengers on board (arrivals),MALAGA/COSTA DEL SOL,2017-04-01,7959
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2017-04-01,15983
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2017-04-01,9400
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2017-04-01,12621
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2017-04-01,21295
Passenger,Passengers on board (arrivals),BERGAMO/ORIO AL SERIO,2017-04-01,7571
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2017-04-01,9420
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2017-04-01,22614
Passenger,Passengers on board (arrivals),WARSZAWA/CHOPINA,2017-04-01,5118
Passenger,Passengers on board (arrivals),PORTO,2017-04-01,37253
Passenger,Passengers on board (arrivals),LISBOA,2017-04-01,34348
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2017-04-01,8121
Passenger,Passengers on board (arrivals),LONDON GATWICK,2017-04-01,7904
Passenger,Passengers on board (arrivals),LONDON/CITY,2017-04-01,23625
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2017-04-01,19033
Passenger,Passengers on board (arrivals),LONDON STANSTED,2017-04-01,14833
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2017-01-01,10605
Passenger,Passengers on board (arrivals),GENEVA,2017-01-01,7153
Passenger,Passengers on board (arrivals),ZURICH,2017-01-01,14481
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2017-01-01,22585
Passenger,Passengers on board (arrivals),MUENCHEN,2017-01-01,24144
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2017-01-01,6466
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2017-01-01,5273
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2017-01-01,4650
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2017-01-01,7738
Passenger,Passengers on board (arrivals),MALAGA/COSTA DEL SOL,2017-01-01,2768
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2017-01-01,2275
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2017-01-01,4615
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2017-01-01,11494
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2017-01-01,17480
Passenger,Passengers on board (arrivals),BERGAMO/ORIO AL SERIO,2017-01-01,271
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2017-01-01,5031
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2017-01-01,17924
Passenger,Passengers on board (arrivals),WARSZAWA/CHOPINA,2017-01-01,3085
Passenger,Passengers on board (arrivals),PORTO,2017-01-01,34950
Passenger,Passengers on board (arrivals),LISBOA,2017-01-01,23315
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2017-01-01,4783
